Close,Volume,High_Low_Pct,Open_Close_Pct,Day_Of_Week,Month_Of_Year,Quarter_Of_Year
9578.629883,6296370176,0.12835530537304338,0.002536876912127847,6,3,1
9205.120117,6457399808,0.10953810236622044,-0.003485025463247941,0,3,1
9194.849609,5991139840,0.0571755486783059,0.0021534644765279524,1,3,1
8269.80957,6438230016,0.159539620911235,0.0025333347548896195,2,3,1
8300.860352,6834429952,0.08291091797786602,0.002656327544974006,3,3,1
8338.349609,5289379840,0.07243196424954348,-0.0019715475808614377,4,3,1
7916.879883,4426149888,0.0683121409456428,-0.0033295772311264303,5,3,1
8223.679688,6639190016,0.11456078004873983,0.014645564220569897,6,3,1
8630.650391,6729110016,0.06030873837874665,-0.0012722643720397323,0,3,1
8913.469727,6361789952,0.07880078412683308,0.0026937593030993186,1,3,1
8929.280273,6043129856,0.03742117195279263,0.0011378472496514785,2,3,1
8728.469727,5530390016,0.06255876257043574,0.0008913673580070271,3,3,1
8879.620117,5954120192,0.062076735067138795,0.0025147560037222984,4,3,1
8668.120117,5664600064,0.038136502021000364,-0.006380916075623523,5,3,1
8495.780273,4569880064,0.02756626951727519,0.0003165635072444848,6,3,1
8209.400391,5921039872,0.07683586025211227,-0.0011450764431352265,0,3,1
7833.040039,5378250240,0.05585287433673904,0.00048385288229464696,1,3,1
7954.47998,4935289856,0.04017331139333867,0.0030913201192065962,2,3,1
7165.700195,6361229824,0.12892264079656074,0.0008024337948177303,3,3,1
